Konversation	Eventsvar	Event/Ej event	Amount of conversations	Amount of events	Amount of non-events
bob: Hi My birthday is next week and I m inviting all my closest friends from school to the party You in;dom: Sounds great When is the party bob: Friday at 2pm You should invite some of your friends too;dom: How about Rachel and Gloria;bob: I think I ve heard you talk about them Remind me;dom: They re great They re in class with us but I don t think you ve met them yet;bob: Are they the two really tall girls;dom: That s them You ll get along great;bob: Sounds like fun See you next week;dom: See you then Happy birthday 		Yes	103	46	56
jackie: Hey you know that party I m having on the sailboat;rebecca: Yeah the one you are inviting your best friends and your family too What about it;jackie: Well I m thinking that I will tell everyone how Gary and I are dating during the party;rebecca: That s a bad idea You absolutely don t want to do that;jackie: Why What s wrong with telling them;rebecca: Lots of reasons To start with you don t want to do that at a party It will put Gary on the spot;jackie: I can see that I guess;rebecca: And you know Gary gets seasick He won t be at his best on the boat;jackie: But it will be great to just have everyone around and be able to tell them all at once;rebecca: And what if your mother doesn t like Gary and you are all stuck on the boat together;jackie: Okay okay I get you I won t do it then You were smart to warn me;rebecca: Thanks for saying that I can t wait for the party by the way 		Yes			
arthur: Hi just look at their decoration;evelyn: Yes this is looking just too good arthur: Should we also decorate our house like this or you want some additions;evelyn: This decoration is just too good But maybe we can add some less lighting so that we get the feel of halloween;arthur: Yes you are correct I will get in touch with decorator today;evelyn: Please take a snap of this house decoration so that we can show it to decorator;arthur: Nice idea I have taken the snap;evelyn: Good Finally our house will also be decorated like this I am feeling so excited;arthur: I am also feeling excited;evelyn: Yes evelyn: Also please tell him to keep lighting low 		No			
cameron: Sara which lawyer do you think is best;sara: I don t know We need someone who is really tough;cameron: Yes we need a if the glove don t fit you must acquit moment;sara: Yeah Zoey has a way with words;cameron: She sure does But Susie has represented some real crooks;sara: And we are real crooks;cameron: We have a lot of money People hate that Susie has represented a lot of hated people;sara: But Zoey can talk her way out of anything;cameron: So true I like the way she twists people s words;sara: You sound like such a criminal;cameron: Your my partner in crime 		No			
katy: Hi Brandon Are you there;brandon: Yes Katy I am here Anything important;katy: Are you ready to come to library;brandon: Yes I am getting ready dear;katy: Oh good I am also getting ready;brandon: Katy do you remember a couple who are sitting next to us They are also regular visitors like us;katy: Yes They are Vince and Karina;brandon: How do you know them;katy: I talked to them once dear I inquired about a book;brandon: Good I have an idea dear;katy: What dear brandon: Shall we invite them to our book club which is going to be started soon;katy: Good idea dear But how to approach them;brandon: I too have the same question You talked to them once Is n t it;katy: Yes dear About a book brandon: Once again you talk to them about the books they are interested in;katy: Why brandon: So that we can talk to them regarding their interest and at the same time we will invite them;katy: Nice idea I will talk to them today Meet you in the library Bye;brandon: Bye dear		Yes			
marilyn: Hi dear how are you;edward: I am good dear What about you;marilyn: I am also good Anything important dear;edward: Nothing important Just I want to chat with you;marilyn: Good dear do you remember that we are going to fix our own garden;edward: Yes I remember it dear;marilyn: Troy and Maya are working in our garden They are maintaining the garden well They know each and every aspect about garden fixing and maintenance;edward: Oh Good marilyn: Shall we get their advice about our garden fixation;edward: Nice idea dear What are the information do you want to have from them;marilyn: I am going to ask about the type of plant and crops suitable for our soil way of plantation and maintenance usage of pesticides and the like;edward: Nice idea dear I am also very interested to know the facts I will get that from you later;marilyn: Sure dear Bye		No			
sharon: Aunt Maria called;gerald: What did she want;sharon: She wants us to be ready for back to school shopping;gerald: What time is she coming;sharon: She ll be here at 4;gerald: I love going shopping with her;sharon: I look forward to it every year also;gerald: She lets us get whatever we want;sharon: And Aunt Maria has such good taste;gerald: That s because she s so young;sharon: I m glad I ll see her soon 		Yes			
lucy: Hey Todd;todd: Hi Lucy;lucy: So did you decide on which DJ to go with for our anniversary;todd: No they re both awesome I m stuck;lucy: How about we flip a coin;todd: Sure do you want to flip it;lucy: Yeah sure Heads we go with DJ Cole tails we go with DJ Alex;todd: Ok let me know who we decide to go with;lucy: I just flipped DJ Cole it is;todd: Perfect I will call him tonight and set everything up;lucy: Cool let me know how everything goes;todd: Definitely will I will see you later tonight honey		No			
donna: I am really worried about what could happen to us;chloe: I know so am I Do you think e need to think about legal aspects;donna: I don t think it can hurt Do you know any lawyers;chloe: I actually have a referral from a friend Two women have a firm;donna: That sounds good Their specialties match our situation;chloe: I think so their name are Alice and Mindy;donna: Well let s contact them for a meeting yes;chloe: I agree I will call Are there any days that don t work for you;donna: If I have anything come up I will just reschedule it This is too important;chloe: Agreed I wll let you know when i can make the appointment 		Yes			
catherine: I saw Rusell and Stacy working in their garden this afternoon;shane: Oh yeah What were they doing;catherine: Arranging some new flowers shane: That sounds nice catherine: I really think we need to do some work in our garden as well;shane: I m not sure about that Our garden is pretty nice as it is;catherine: I think we should plant some new shrubs;shane: That could make it look nice But what do you know about shrubs Which ones would you get;catherine: Well I can ask Stacy They re experts about this subject;shane: That s true Let me know;catherine: All right I ll talk to her Hopefully they have some easy advice;shane: Just don t expect me to work too hard 		No			
emma: hi william how are you i hope the you will be fine over there;william: hi emma i am fine thank you i hope the same from yourside;emma: i like to meet you lisa and don at the upcoming sunday brunch;william: wow what a lovely message i will be very much happy to see you over there;emma: but i am quite nervous because how i will share my thoughts with lisa and dom;william: why emma what is there to meet them they are also like me;emma: no william you are different because i know you over a long time but lisa and dom for a past few days only i know them;william: oh no emma they are very kind person they have very good qualities and they are very much fond of having friendship with you;emma: ok william i will come and meet them but you have to support me a lot;william: ok emma it is not at all problem we will meet at sunday brunch see you there;		Yes			
sharon: Aunt Maria called;gerald: What did she want;sharon: She wants us to be ready for back to school shopping;gerald: What time is she coming;sharon: She ll be here at 4;gerald: I love going shopping with her;sharon: I look forward to it every year also;gerald: She lets us get whatever we want;sharon: And Aunt Maria has such good taste;gerald: That s because she s so young;sharon: I m glad I ll see her soon 		Yes			
mark: Hey do you know if Jean is seeing anyone;richard: She isn t but I don t think you guys are compatible;mark: Why do you think that;richard: She s just more energetic and outgoing than you are no offense;mark: I can be outgoing I just choose not to;richard: Yeah right It s not just that though mark: What else is there richard: Well she can be pretty immature sometimes;mark: Man I can be immature screw Fuck you Richard;richard: Fuck you too buddy		No			
rodger: Hey Clary I gotta ask you something do you mind if I do;clary: Hey Rodger what did you want to ask me about;rodger: Well you know how we always head to the library after school;clary: Yeah what about it Is there something wrong with our schedule;rodger: No that s not it at all it s actually about that couple that always sits near us all the time;clary: Oh that s Matt and Catherine I ve talked to them once before they seem like cool people;rodger: I wonder if they d be interested in starting a book club what do you think;clary: Yeah they seem like the kind of people how do we ask them;rodger: Let s just talk to them next time we see them in the library;clary: OK that sounds good see you soon Rodger 		No			
ryan: Hey Jean take a look at Bobby s lawn;jean: Oh wow did they already finish decorating;ryan: Yeah looks like Deborah and Bob were at it all day;jean: Looks great We are way behind in decorating;ryan: I love their carved pumpkins They must have about ten of them hanging on the tree;jean: That looks so funny I love their lights as well We should do something like that;ryan: Yeah also that ghost with bed sheets That is genius It looks really tall jean: Can we do something like that too;ryan: Yeah it is quite easy we can have a lot of those all around Tiny ones too giving an illusion of flying around;jean: Cool I am excited;ryan: Me too 		No			
janice: You saw our new neighbor Melinda moving in last night right;darren: Yeah she seemed nice;janice: Did you talk to her at all;darren: No I was in a bit of a rush as she was coming in;darren: But she did seem really nice;janice: I was thinking that we should invite her over for dinner next week;darren: We can do that I bet she d appreciate it;janice: I think she really would Who knows if she knows anybody in the neighborhood yet And it s always so hard to make new friends;darren: That s true darren: Do you have any idea what sort of food she likes;janice: Well she seems very thin and fit so I ll look into health foods a bit;darren: Sounds like a good plan		No			
frank: Hey Jeffrey how are you doing;jeffrey: I am doing fine Frank thanks for asking what s up;frank: Damn man I keep thinking about Susie;jeffrey: What do you mean Frank;frank: I really am into her;jeffrey: Are you sure it is specifically about her Maybe you just feel lonely;frank: I am sure that I am into Susie;jeffrey: Frank maybe she is not the right girl for you;frank: What do you mean Jeffrey;jeffrey: I mean you would already be with her if it would be working;frank: I know that this is not going anywhere but I really like her;jeffrey: You are better off to look for a girl that likes you too so it would not be just you liking her;frank: You are right Jeffrey 		No			
e: so did you see the new horror advertised in the cinema;peggy: yes i did and I just thought of you Do you want to go to see it tonight;joe: I would love to but I dont get paid until Friday;peggy: Sure it is student night buy one ticket get one free so we may as well go;joe: great I forgot about that Here do you think we should invite the neighbours;peggy: Not peter nad Ann I dont really like them but what about inviting the other neighbours Joseph and Christina;joe: Yes we do get on well with them but I know for a fact that Joe hates horror flicks;peggy: Well what else is on that they may like;joe: There is that new romcom and I think that science fiction one is still on What do you think they would like;peggy: Possibly the science fiction one as I remember Joseph talking about a few scifi classics before;joe: What do you think then should we say to them;peggy: It is up to you since it is you that is keen to go;joe: Well if you dont mind then can it just be us two I have been looking forward to this horror being released and I cant wait to watch it;peggy: sure why not We can always ask them next week;joe: Agreed right go and get yourself ready and I will get on the computer and book us tickets;peggy: Deal I will be back in half an hour 		Yes			
bill: Hey Martha let s do something fun this weekend;martha: Sure I would love to I need a break I ve been wanting to try out that new brewery downtown;bill: Oh yeah I did hear about that Let s do it;martha: I know Evan wanted to go too I guess I ll invite him;bill: Awww do we really have to invite Evan He hates Janet and I would really like her to come too;martha: Sorry I forgot how Evan feels about your girlfriend We don t have to invite him;bill: Thanks for understanding;martha: Should we invite Tom I think he gets along with everyone;bill: Yeah I m fine with Tom Do you want to invite Tom and Janet or just one of them;martha: I think we should invite both Then it will be a double date;bill: Interesting I didn t know you were dating Tom;		Yes			
macy: Mason we need to talk about Ellen s schooling;mason: OK have you decided anything from our last discussion;macy: Actually no I m still torn between homeschooling and private school;mason: I m in the same position as you are;macy: On one hand I do not want to deprive her from socialization;mason: I know what you re talking out I do not want to isolate her either;macy: But on the other hand I wish for her to receive the best eduction possible;mason: Exactly But still with all that s been happening in the world lately it would be great to not have to worry about her safety every single day;macy: You know what The Smiths are homeschooling their daughter How about we talk to them and try to understand their reasons for choosing home scooling over private schools;mason: You re right Let s talk to them Maybe it will help us reach an informed decision		No			
bonnie: Hey Sydney what are you doing tonight;sydney: I do not have any plans you;bonnie: I was thinking we shoudl have a girls night in Nothing too big just us some good music food and wine What do you think;sydney: That sounds great I can bring dessert;bonnie: Great can t wait sydney: What about your neighbor;bonnie: Who Tania;sydney: Yes You know last time she called the police saying we were disturbing her sleep;bonnie: Yeah she is annoying I was thinking about inviting her over to try to make admends;sydney: I don t know if you should do that She is a BITCH;bonnie: It is the only way we can have peace I have to live here and I really just want to keep the peace;sydney: I understand Do you think she will say yes;bonnie: I hope so It would at least show I am putting in the effort to form a friendship with her;sydney: Well good luck with that I will see you later;bonnie: Okay bye		Yes			
vince: Hi Kenneth You remember Amelie I found out that she like football and hockey can you believe it;kenneth: Yeah I know that she dated Gary for a while and they use to go to some football and hockey games;vince: Nice I think Amelie and I are going to go to the hockey game Friday night then out on the town for a while;vince: I do know that she doesn t like pizza;kenneth: I hear you Apparently Gary ate a lot of pizza and that is one reason they broke up I do know that she likes sushi though;vince: Great I love sushi Maybe her and I will go get some;kenneth: That was apparently another thing that Gary didn t like was sushi He also listened to heavy metal a lot and I think that Amelie didn t like that either;kenneth: She also like hiking and surfing I think;vince: Very cool Her and I will get along great;kenneth: Have fun at the hockey game and let me know how its going;vince: Will do thanks		Yes			
